064509,市立外埔國中
064510,市立大甲國中
064511,市立日南國中
064512,市立大安國中
064513,市立清水國中
064514,市立清泉國中
064515,市立沙鹿國中
064516,市立梧棲國中
064517,市立龍井國中
064518,市立四箴國中
064519,市立大道國中
064520,市立烏日國中
064521,市立溪南國中
064522,市立霧峰國中
064523,市立光復國中(小)
064525,市立太平國中
064526,市立中平國中
064527,市立石岡國中
064529,市立東勢國中
064530,市立東華國中
064531,市立東新國中
064532,市立成功國中
064533,市立和平國中
064534,市立北勢國中
064535,市立鹿寮國中
064537,市立光榮國中
064538,市立潭秀國中
064539,市立順天國中
064540,市立清海國中
064541,市立大華國中
064543,市立新光國中
064544,市立光正國中
064545,市立豐陽國中
064546,市立光德國中
064547,市立立新國中
064548,市立爽文國中
064549,市立公明國中
064551,市立神圳國中
064552,市立梨山國中(小)
191503,私立麗澤國中(小)
193501,市立居仁國中
193502,市立雙十國中
193504,市立崇倫國中
193505,市立大德國中
193506,市立北新國中
193507,市立東峰國中
193508,市立黎明國中
193509,市立光明國中
193510,市立向上國中
193511,市立育英國中
193512,市立四育國中
193514,市立五權國中
193516,市立中山國中
193517,市立崇德國中
193518,市立立人國中
193519,市立漢口國中
193520,市立安和國中
193521,市立至善國中
193522,市立萬和國中
193523,市立大業國中
193524,市立三光國中
193527,市立大墩國中
193526,市立福科國中
060322,國立興大附中
060323,國立中科實驗高級中學
061301,財團法人常春藤高中
061306,私立明台高中
061309,私立致用高中
061310,私立大明高中
061311,私立嘉陽高中
061313,私立明道高中
061314,私立僑泰高中
061315,私立華盛頓高中
061316,私立青年高中
061317,私立弘文高中
061318,私立立人高中
061319,私立玉山高中
061321,私立慈明高中
061322,華德福大地實驗學校
063303,市立大甲高中
063305,市立清水高中
063312,市立豐原高中
063401,市立豐原高商
063402,市立大甲高工
063404,市立東勢高工
063407,市立沙鹿高工
063408,市立霧峰農工
064308,市立后綜高中
064324,市立大里高中
064328,市立新社高中
064336,市立長億高中
064342,市立中港高中
064350,市立龍津高中
190406,國立興大附農
191301,私立東大附中
191302,私立葳格高中
191305,私立新民高中
191308,私立宜寧高中
191309,私立明德高中
191311,私立衛道高中
191313,私立曉明女中
191314,私立嶺東高中
191315,私立磊川華德福實驗教育學校
191412,財團法人光華高工
193301,市立臺中女中
193302,市立臺中一中
193303,市立忠明高中
193313,市立西苑高中
193315,市立東山高中
193316,市立惠文高中
193404,市立臺中家商
193407,市立臺中高工
194303,市立臺中二中
194315,市立文華高中
"193525","市立四張犁國中"
